Unnamed: 0,admin_name,Date,fews_ipc,country,timestamp
101,Morobo,08/1/2017,3,South Sudan,1501545600
102,Morobo,09/1/2017,2,South Sudan,1504224000
103,Morobo,10/1/2017,2,South Sudan,1506816000
104,Morobo,11/1/2017,3,South Sudan,1509494400
105,Morobo,12/1/2017,2,South Sudan,1512086400
106,Morobo,01/1/2018,3,South Sudan,1514764800
107,Morobo,02/1/2018,3,South Sudan,1517443200
108,Morobo,03/1/2018,4,South Sudan,1519862400
109,Morobo,04/1/2018,3,South Sudan,1522540800
110,Morobo,05/1/2018,2,South Sudan,1525132800
111,Morobo,06/1/2018,2,South Sudan,1527811200
112,Morobo,07/1/2018,3,South Sudan,1530403200
113,Morobo,08/1/2018,3,South Sudan,1533081600
114,Morobo,09/1/2018,3,South Sudan,1535760000
115,Morobo,10/1/2018,2,South Sudan,1538352000
116,Morobo,11/1/2018,4,South Sudan,1541030400
117,Morobo,12/1/2018,3,South Sudan,1543622400
118,Morobo,01/1/2019,4,South Sudan,1546300800
119,Morobo,02/1/2019,2,South Sudan,1548979200
120,Morobo,03/1/2019,4,South Sudan,1551398400
121,Morobo,04/1/2019,4,South Sudan,1554076800
122,Morobo,05/1/2019,2,South Sudan,1556668800
123,Morobo,06/1/2019,2,South Sudan,1559347200
124,Morobo,07/1/2019,4,South Sudan,1561939200
125,Morobo,08/1/2019,4,South Sudan,1564617600
126,Morobo,09/1/2019,4,South Sudan,1567296000
127,Morobo,10/1/2019,3,South Sudan,1569888000
128,Morobo,11/1/2019,2,South Sudan,1572566400
129,Morobo,12/1/2019,3,South Sudan,1575158400
130,Morobo,01/1/2020,3,South Sudan,1577836800
131,Morobo,02/1/2020,2,South Sudan,1580515200
132,Magwi,06/1/2017,4,South Sudan,1496275200
133,Magwi,07/1/2017,4,South Sudan,1498867200
134,Magwi,08/1/2017,3,South Sudan,1501545600
135,Magwi,09/1/2017,4,South Sudan,1504224000
136,Magwi,10/1/2017,3,South Sudan,1506816000
137,Magwi,11/1/2017,3,South Sudan,1509494400
138,Magwi,12/1/2017,3,South Sudan,1512086400
139,Magwi,01/1/2018,4,South Sudan,1514764800
140,Magwi,02/1/2018,3,South Sudan,1517443200
141,Magwi,03/1/2018,3,South Sudan,1519862400
142,Magwi,04/1/2018,3,South Sudan,1522540800
143,Magwi,05/1/2018,3,South Sudan,1525132800
144,Magwi,06/1/2018,2,South Sudan,1527811200
145,Magwi,07/1/2018,2,South Sudan,1530403200
146,Magwi,08/1/2018,3,South Sudan,1533081600
147,Magwi,09/1/2018,4,South Sudan,1535760000
148,Magwi,10/1/2018,2,South Sudan,1538352000
149,Magwi,11/1/2018,3,South Sudan,1541030400
150,Magwi,12/1/2018,2,South Sudan,1543622400
151,Magwi,01/1/2019,4,South Sudan,1546300800
152,Magwi,02/1/2019,3,South Sudan,1548979200
153,Magwi,03/1/2019,4,South Sudan,1551398400
154,Magwi,04/1/2019,3,South Sudan,1554076800
155,Magwi,05/1/2019,2,South Sudan,1556668800
156,Magwi,06/1/2019,2,South Sudan,1559347200
157,Magwi,07/1/2019,4,South Sudan,1561939200
158,Magwi,08/1/2019,2,South Sudan,1564617600
159,Magwi,09/1/2019,3,South Sudan,1567296000
160,Magwi,10/1/2019,3,South Sudan,1569888000
161,Magwi,11/1/2019,4,South Sudan,1572566400
162,Magwi,12/1/2019,3,South Sudan,1575158400
163,Magwi,01/1/2020,3,South Sudan,1577836800
164,Magwi,02/1/2020,2,South Sudan,1580515200
165,Kajo-keji,06/1/2017,3,South Sudan,1496275200
166,Kajo-keji,07/1/2017,3,South Sudan,1498867200
167,Kajo-keji,08/1/2017,3,South Sudan,1501545600
168,Kajo-keji,09/1/2017,4,South Sudan,1504224000
169,Kajo-keji,10/1/2017,3,South Sudan,1506816000
170,Kajo-keji,11/1/2017,2,South Sudan,1509494400
171,Kajo-keji,12/1/2017,3,South Sudan,1512086400
172,Kajo-keji,01/1/2018,3,South Sudan,1514764800
173,Kajo-keji,02/1/2018,2,South Sudan,1517443200
174,Kajo-keji,03/1/2018,3,South Sudan,1519862400
175,Kajo-keji,04/1/2018,2,South Sudan,1522540800
176,Kajo-keji,05/1/2018,4,South Sudan,1525132800
177,Kajo-keji,06/1/2018,2,South Sudan,1527811200
178,Kajo-keji,07/1/2018,2,South Sudan,1530403200
179,Kajo-keji,08/1/2018,2,South Sudan,1533081600
180,Kajo-keji,09/1/2018,4,South Sudan,1535760000
181,Kajo-keji,10/1/2018,3,South Sudan,1538352000
182,Kajo-keji,11/1/2018,3,South Sudan,1541030400
183,Kajo-keji,12/1/2018,3,South Sudan,1543622400
184,Kajo-keji,01/1/2019,2,South Sudan,1546300800
185,Kajo-keji,02/1/2019,3,South Sudan,1548979200
186,Kajo-keji,03/1/2019,2,South Sudan,1551398400
187,Kajo-keji,04/1/2019,2,South Sudan,1554076800
188,Kajo-keji,05/1/2019,2,South Sudan,1556668800
189,Kajo-keji,06/1/2019,3,South Sudan,1559347200
190,Kajo-keji,07/1/2019,3,South Sudan,1561939200
191,Kajo-keji,08/1/2019,3,South Sudan,1564617600
192,Kajo-keji,09/1/2019,2,South Sudan,1567296000
193,Kajo-keji,10/1/2019,3,South Sudan,1569888000
194,Kajo-keji,11/1/2019,3,South Sudan,1572566400
195,Kajo-keji,12/1/2019,4,South Sudan,1575158400
196,Kajo-keji,01/1/2020,4,South Sudan,1577836800
197,Kajo-keji,02/1/2020,3,South Sudan,1580515200
198,Ikotos,06/1/2017,4,South Sudan,1496275200
199,Ikotos,07/1/2017,2,South Sudan,1498867200
200,Ikotos,08/1/2017,3,South Sudan,1501545600
201,Ikotos,09/1/2017,3,South Sudan,1504224000
202,Ikotos,10/1/2017,4,South Sudan,1506816000
203,Ikotos,11/1/2017,3,South Sudan,1509494400
204,Ikotos,12/1/2017,3,South Sudan,1512086400
205,Ikotos,01/1/2018,3,South Sudan,1514764800
206,Ikotos,02/1/2018,4,South Sudan,1517443200
207,Ikotos,03/1/2018,4,South Sudan,1519862400
208,Ikotos,04/1/2018,3,South Sudan,1522540800
209,Ikotos,05/1/2018,4,South Sudan,1525132800
210,Ikotos,06/1/2018,3,South Sudan,1527811200
211,Ikotos,07/1/2018,2,South Sudan,1530403200
212,Ikotos,08/1/2018,3,South Sudan,1533081600
213,Ikotos,09/1/2018,3,South Sudan,1535760000
214,Ikotos,10/1/2018,3,South Sudan,1538352000
215,Ikotos,11/1/2018,3,South Sudan,1541030400
216,Ikotos,12/1/2018,4,South Sudan,1543622400
217,Ikotos,01/1/2019,2,South Sudan,1546300800
218,Ikotos,02/1/2019,4,South Sudan,1548979200
219,Ikotos,03/1/2019,4,South Sudan,1551398400
